UF,CIDADE,PIB,POPULACAO,PIB_PERCAPITA
PI,PAES LANDIM,14581.94140625,4562,3196.38989258
PI,COCAL DE TELHA,15476.57128906,4689,3300.61010742
PI,CAMPO GRANDE DO PIAUÍ,20200.31054688,5898,3424.93994141
PI,REGENERAÇÃO,60257.28125,18190,3312.65991211
PI,RIACHO FRIO,16725.6796875,5093,3284.05004883
PI,PAQUETÁ,15219.06542969,4686,3247.77001953
PI,LAGOINHA DO PIAUÍ,9008.67675781,2676,3366.4699707
PI,SÃO GONÇALO DO GURGUÉIA,10072.890625,2544,3959.4699707
PI,JARDIM DO MULATO,14268.64648438,4318,3304.45996094
PI,ACAUÃ,22335.9765625,7354,3037.26000977
PI,SEBASTIÃO BARROS,17421.07421875,4270,4079.87988281
PI,SANTANA DO PIAUÍ,15979.00292969,5015,3186.23999023
PI,VALENÇA DO PIAUÍ,90192.671875,20303,4442.33007812
PI,SÃO JOÃO DA SERRA,22621.08203125,6877,3289.37988281
PI,CORONEL JOSÉ DIAS,13511.09667969,4484,3013.17993164
PI,SÃO GONÇALO DO PIAUÍ,15585.75195312,4485,3475.08007812
PI,JOCA MARQUES,15076.13085938,5614,2685.44995117
PI,SUSSUAPARA,23830.77539062,5759,4138.00976562
PI,UNIÃO,192874375,43135,4471.41015625
PI,FRANCISCO SANTOS,33827.109375,8315,4068.19995117
PI,JERUMENHA,16912.27539062,4490,3766.64990234
PI,BOM JESUS,203856.984375,20511,9938.91015625
PI,ANTÔNIO ALMEIDA,22826.05273438,3267,6986.85009766
PI,SANTA CRUZ DOS MILAGRES,13804.08300781,3457,3993.08007812
PI,IPIRANGA DO PIAUÍ,33577.5078125,9739,3447.73999023
PI,SANTO ANTÔNIO DE LISBOA,28596.89257812,5965,4794.10986328
PI,NOVO SANTO ANTÔNIO,11483.71191406,3547,3237.58007812
PI,SÃO RAIMUNDO NONATO,155153.0625,32215,4816.16992188
PI,SÃO MIGUEL DO TAPUIO,56574.91015625,19831,2852.85009766
PI,CAMPO ALEGRE DO FIDALGO,13968.11035156,4647,3005.83007812
PI,JOÃO COSTA,11626.99414062,3315,3507.38989258
PI,CAXINGÓ,19456.99414062,5270,3692.0300293
PI,CANAVIEIRA,14949.34375,4093,3652.41992188
PI,DEMERVAL LOBÃO,35422.94140625,13232,2677.07006836
PI,ESPERANTINA,133921.484375,37520,3569.34008789
PI,OEIRAS,152384.3125,36293,4198.72021484
PI,CURRAL NOVO DO PIAUÍ,14465.60644531,5119,2825.87011719
PI,LAGOA DE SÃO FRANCISCO,17828.19921875,6796,2623.34008789
PI,FLORES DO PIAUÍ,16121.22167969,4615,3493.2199707
PI,TANQUE DO PIAUÍ,12196.9140625,2714,4494.06982422
PI,SÃO MIGUEL DA BAIXA GRANDE,7714.59814453,2153,3583.18994141
PI,JUAZEIRO DO PIAUÍ,17748.00585938,4941,3591.98999023
PI,LANDRI SALES,27500.9921875,5753,4780.29003906
PI,ISAÍAS COELHO,25114.17578125,8043,3122.48999023
