UF,CIDADE,PIB,POPULACAO,PIB_PERCAPITA,COD_TSE
PR,URAÍ,108368.859375,11774,9204.08007812,79413
PR,PRESIDENTE CASTELO BRANCO,39173.65234375,4934,7939.52978516,77879
PR,CURITIBA,45762420.0,1851215,24720.2109375,75353
PR,TIBAGI,324484.21875,19421,16707.91015625,79235
PR,NOVA TEBAS,54613.16796875,8283,6593.39990234,75760
PR,SANTO ANTÔNIO DO CAIUÁ,26489.55859375,2733,9692.48046875,-
PR,CANTAGALO,112364.609375,12733,8824.6796875,84514
PR,VITORINO,146640.046875,6531,22452.91992188,79472
PR,MARMELEIRO,133879.640625,13463,9944.25976562,76953
PR,CRUZEIRO DO OESTE,275256.84375,20856,13197.96972656,75299
PR,MATO RICO,26970.328125,4205,6413.87011719,74527
PR,CAFEZAL DO SUL,34552.42578125,4313,8011.22998047,74209
PR,UMUARAMA,1252597625.0,99606,12575.51953125,79359
PR,IPORÃ,158137.84375,15227,10385.36035156,76058
PR,IGUARAÇU,41197.90234375,3907,10544.63964844,75957
PR,PRADO FERREIRA,37012.03515625,3510,10544.74023438,75566
PR,PRANCHITA,89779.75,5885,15255.69042969,79910
PR,MANFRINÓPOLIS,25319.390625,3283,7712.27001953,75469
PR,UNIFLOR,18781.17382812,2495,7527.52001953,79391
PR,CRUZMALTINA,44678.48046875,3128,14283.40039062,75264
PR,ALTO PARAÍSO,37717.46875,3217,11724.41992188,74926
PR,ASSIS CHATEAUBRIAND,435989.78125,33023,13202.61035156,79537
PR,DOIS VIZINHOS,639611.25,35707,17912.76953125,75418
PR,NOVA CANTU,79525.1875,7481,10630.29003906,77194
PR,ITAIPULÂNDIA,109910.7734375,9349,11756.41992188,75000
PR,GOIOERÊ,320909.46875,29704,10803.58007812,75698
PR,SANTA MARIANA,114636.953125,11996,9556.26953125,78530
PR,SANTA ISABEL DO IVAÍ,90435.8046875,8621,10490.1796875,78492
PR,SÃO JOÃO DO TRIUNFO,95327.8046875,14399,6620.45019531,78778
PR,PONTA GROSSA,5072749.0,314681,16120.29003906,77771
PR,LUPIONÓPOLIS,49499.19140625,4538,10907.70996094,76694
PR,LOANDA,210151.359375,20103,10453.73046875,76635
PR,FERNANDES PINHEIRO,48794.671875,5696,8566.48046875,75345
PR,PINHALÃO,49979.51953125,6005,8322.98046875,77631
PR,CLEVELÂNDIA,222191.203125,17995,12347.38964844,75094
PR,TIJUCAS DO SUL,150605.46875,13762,10943.5703125,79251
PR,GODOY MOREIRA,23185.61132812,3616,6411.95019531,74004
PR,SANTA MARIA DO OESTE,66383.7890625,11369,5839.02001953,74802
PR,SARANDI,567051.8125,84651,6698.70019531,84611
PR,BOCAIÚVA DO SUL,84238.7265625,9989,8433.15039062,74594
PR,LONDRINA,8884459.0,510707,17396.390625,76678
PR,PALMEIRA,403533.84375,32401,12454.36035156,77356
PR,FOZ DO JORDÃO,46041.5859375,5881,7828.87011719,75361
PR,MANGUEIRINHA,469339.28125,17526,26779.59960938,75116
PR,MANOEL RIBAS,145924.015625,13113,11128.19042969,76813
PR,FLORESTÓPOLIS,84277.2109375,11795,7145.16015625,75574
PR,CAMPO DO TENENTE,64570.7421875,6715,9615.90039062,74799
PR,IPIRANGA,149379.453125,14655,10193.0703125,76031
PR,CORONEL VIVIDA,276979.6875,21830,12688.03027344,75272
PR,PAIÇANDU,226279.140625,36876,6136.22021484,77313
PR,BRAGANEY,76597.8515625,6209,12336.58007812,79839
PR,JANDAIA DO SUL,245062.046875,20159,12156.45996094,76350
PR,CENTENÁRIO DO SUL,77784.9765625,11474,6779.24023438,74993
PR,CAMBIRA,95171.7109375,7142,13325.63964844,74730
PR,BOA VISTA DA APARECIDA,57688.05078125,7919,7284.75976562,79812
PR,FAXINAL,224224.78125,16032,13986.08007812,75493
PR,ENTRE RIOS DO OESTE,64455.578125,4113,15671.1796875,74284
PR,JURANDA,131806.546875,7822,16850.75,84638
PR,WENCESLAU BRAZ,196929125.0,19090,10315.83007812,79430
PR,NOVA ESPERANÇA DO SUDOESTE,47845.046875,5337,8964.78027344,75027
PR,CATANDUVAS,131341.5,9673,13578.16015625,74977
PR,MARECHAL CÂNDIDO RONDON,890870.75,47048,18935.359375,76830
PR,MATELÂNDIA,224432.015625,16217,13839.30957031,76996
PR,PARANAVAÍ,924553.3125,82716,11177.44042969,77496
PR,SÃO JORGE D'OESTE,93567.703125,9195,10175.9296875,78816
PR,QUITANDINHA,114976.9765625,16608,6922.99023438,78018
PR,MIRASELVA,17071.88085938,1946,8772.80957031,77054
PR,JARDIM ALEGRE,94959.7421875,14976,6340.79003906,76430
PR,BITURUNA,129179.7578125,16803,7687.89990234,74551
PR,SANTA CECÍLIA DO PAVÃO,52511.83984375,3695,14211.58984375,78417
PR,TELÊMACO BORBA,1230714875.0,69278,17764.86914062,79154
PR,GENERAL CARNEIRO,151003.515625,15275,9885.66015625,75671
PR,ITAMBÉ,86111.015625,6082,14158.33984375,76155
PR,RIBEIRÃO DO PINHAL,88980.2421875,13584,6550.37011719,78158
PR,BOA ESPERANÇA DO IGUAÇU,31648.30859375,2898,10920.74023438,74144
PR,AGUDOS DO SUL,52750.92578125,8735,6039.02978516,74055
PR,PRIMEIRO DE MAIO,106101.3203125,11126,9536.33984375,77895
PR,TUNEIRAS DO OESTE,85351.8125,8777,9724.49023438,79316
PR,SENGÉS,211313.234375,20445,10335.69042969,79014
PR,MAUÁ DA SERRA,119340.1796875,8446,14129.79003906,74543
